Name,Games,Minutes Played,O Points,O Conversions,D Points,D Conversions,Touches,Throws,Catches,Goals,Assists,Pulls,Average Pull Hangtime,Callahans,Callahans Thrown,Stalls,Throwaways,Drops,Pulls OB,Penalties, Team
Jeffer I,10,224.05,101,54,51,7,137,133,124,4,7,24,6.81866666667,0,0,0,5,2,1,0,Cincinnati Revolution2015  
Mack Ed,13,459.266666667,281,166,16,5,468,443,400,18,25,0,0,0,0,0,20,6,0,0,Cincinnati Revolution2015  
Anonymous,1,0.0,0,0,0,0,2,3,2,0,0,1,0,0,0,0,0,0,0,0,Cincinnati Revolution2015  
Misleh G,13,399.516666667,242,143,46,10,330,290,285,38,32,3,5.91033333333,0,0,0,41,5,0,0,Cincinnati Revolution2015  
Elder D,8,56.0,3,3,53,6,15,16,13,1,2,0,0,0,0,0,2,0,0,0,Cincinnati Revolution2015  
Graves D,13,143.233333333,8,3,125,20,42,40,37,4,4,0,0,0,0,0,4,2,0,0,Cincinnati Revolution2015  
Brinkm E,12,233.366666667,54,28,153,23,102,108,87,8,10,5,4.4868,0,0,0,11,3,0,0,Cincinnati Revolution2015  
Settle T,14,512.8,281,157,46,12,503,493,412,25,24,2,4.17,0,0,1,33,6,0,0,Cincinnati Revolution2015  
Landis T,7,193.766666667,115,74,7,3,63,45,47,16,3,0,0,0,0,0,2,0,0,0,Cincinnati Revolution2015  
Fox Cody,10,278.8,129,69,91,9,239,247,205,6,8,3,2.71266666667,0,0,2,21,5,0,0,Cincinnati Revolution2015  
Schrin S,12,501.8,265,160,45,12,579,670,441,17,33,0,0,0,0,2,49,10,0,0,Cincinnati Revolution2015  
Kyle Rom,8,132.566666667,19,10,95,13,25,16,17,8,0,10,5.4565,0,0,0,0,0,0,0,Cincinnati Revolution2015  
Dinan,2,10.7333333333,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cincinnati Revolution2015  
Kaylor Z,12,219.116666667,26,10,151,22,85,91,81,0,1,0,0,0,0,0,8,4,0,0,Cincinnati Revolution2015  
Latz J,8,190.183333333,114,69,10,3,118,116,110,7,9,0,0,0,0,0,16,3,0,0,Cincinnati Revolution2015  
Greg,2,12.5,0,0,10,1,6,4,6,0,0,0,0,0,0,0,2,0,0,0,Cincinnati Revolution2015  
Moore S,11,133.816666667,8,4,102,17,18,15,14,4,0,0,0,0,0,0,1,0,0,0,Cincinnati Revolution2015  
Sage Ben,2,23.2166666667,8,5,21,2,14,14,12,1,3,17,6.92675,0,0,0,2,0,1,0,Cincinnati Revolution2015  
Bisson N,7,49.3666666667,7,3,35,4,19,17,17,2,1,0,0,0,0,0,6,0,0,0,Cincinnati Revolution2015  
Kelly K,9,274.033333333,138,82,32,4,262,253,246,9,9,9,6.622,0,0,1,16,1,0,0,Cincinnati Revolution2015  
Sage,1,20.0666666667,0,0,22,4,2,4,2,0,1,5,6.2736,0,0,0,0,0,0,0,Cincinnati Revolution2015  
Mccart C,12,301.75,134,78,76,16,308,321,268,8,8,0,0,0,0,0,24,4,0,0,Cincinnati Revolution2015  
Dan Latz,6,220.6,90,54,36,5,197,212,169,1,14,0,0,0,0,0,18,5,0,0,Cincinnati Revolution2015  
Carrol K,14,237.283333333,29,11,169,26,50,43,40,10,2,0,0,0,0,0,5,0,0,0,Cincinnati Revolution2015  
Wetzel N,5,152.683333333,45,21,59,12,96,106,88,5,1,34,5.88838235294,0,0,0,8,5,1,0,Cincinnati Revolution2015  
